type;price;bedroomCount;sqmeter2;district
APARTMENT;170000;2;93.0;Brussels
APARTMENT;495000;2;143.0;Brussels
APARTMENT;845000;3;221.0;Brussels
HOUSE;1850000;5;540.0;Brussels
APARTMENT;299000;2;83.0;Brussels
APARTMENT;149000;1;51.0;Brussels
APARTMENT;279000;3;90.0;Brussels
APARTMENT;230000;0;42.0;Brussels
APARTMENT;345000;2;66.0;Brussels
APARTMENT;436000;2;86.0;Brussels
APARTMENT;510000;3;131.0;Brussels
HOUSE;995000;5;339.0;Brussels
APARTMENT;280000;1;69.0;Brussels
APARTMENT;229000;2;77.0;Brussels
APARTMENT;300000;1;76.0;Brussels
APARTMENT;485000;2;137.0;Brussels
HOUSE;910000;5;230.0;Brussels
APARTMENT;475000;1;145.0;Brussels
APARTMENT;185000;2;92.0;Brussels
APARTMENT;550000;3;179.0;Brussels
APARTMENT;600000;3;136.0;Brussels
APARTMENT;165000;1;20.0;Brussels
APARTMENT;299000;2;90.0;Brussels
APARTMENT;635000;3;125.0;Brussels
APARTMENT;206000;0;36.0;Brussels
APARTMENT;135000;1;40.0;Brussels
APARTMENT;139000;1;41.0;Brussels
APARTMENT;149000;1;43.0;Brussels
APARTMENT;365000;2;95.0;Brussels
APARTMENT;370000;1;74.0;Brussels
APARTMENT;849000;4;212.0;Brussels
HOUSE;545000;3;150.0;Brussels
APARTMENT;290000;2;75.0;Brussels
APARTMENT;320000;2;90.0;Brussels
APARTMENT;335000;1;61.0;Brussels
APARTMENT;590000;3;130.0;Brussels
APARTMENT;269000;2;97.0;Brussels
APARTMENT;309000;2;120.0;Brussels
APARTMENT;249000;1;45.0;Brussels
HOUSE;850000;4;520.0;Brussels
APARTMENT;400000;1;78.0;Brussels
APARTMENT;140000;1;62.0;Brussels
HOUSE;390000;2;171.0;Brussels
HOUSE;760000;5;270.0;Brussels
APARTMENT;495000;4;156.0;Brussels
APARTMENT;560000;2;159.0;Brussels
APARTMENT;326000;2;80.0;Brussels
HOUSE;349000;2;100.0;Brussels
APARTMENT;349000;2;84.0;Brussels
APARTMENT;310000;1;65.0;Brussels
APARTMENT;252500;1;65.0;Brussels
APARTMENT;340000;2;104.0;Brussels
APARTMENT;695000;3;150.0;Brussels
HOUSE;1250000;5;400.0;Brussels
APARTMENT;350000;1;56.0;Brussels
APARTMENT;515000;2;120.0;Brussels
APARTMENT;650000;3;130.0;Brussels
APARTMENT;795000;4;186.0;Brussels
HOUSE;765000;4;157.0;Brussels
HOUSE;785000;5;253.0;Brussels
HOUSE;399000;4;137.0;Brussels
APARTMENT;149000;1;40.0;Brussels
APARTMENT;229000;3;102.0;Brussels
HOUSE;405000;4;160.0;Brussels
HOUSE;735000;5;302.0;Brussels
APARTMENT;225000;1;59.0;Brussels
APARTMENT;215000;1;55.0;Brussels
HOUSE;499000;6;298.0;Brussels
HOUSE;499000;6;298.0;Brussels
APARTMENT;275000;2;91.0;Brussels
HOUSE;1750000;5;450.0;Brussels
APARTMENT;270000;2;80.0;Brussels
APARTMENT;275000;2;98.0;Brussels
APARTMENT;695000;3;204.0;Brussels
APARTMENT;425000;4;156.0;Brussels
APARTMENT;225000;1;61.0;Brussels
APARTMENT;335000;2;93.0;Brussels
APARTMENT;345000;3;107.0;Brussels
APARTMENT;320000;1;77.0;Brussels
APARTMENT;239000;2;108.0;Brussels
APARTMENT;269000;1;70.0;Brussels
APARTMENT;495000;3;143.0;Brussels
APARTMENT;495000;3;143.0;Brussels
APARTMENT;520000;2;142.0;Brussels
APARTMENT;520000;2;145.0;Brussels
APARTMENT;495000;3;128.0;Brussels
APARTMENT;634000;3;175.0;Brussels
APARTMENT;373000;2;90.0;Brussels
APARTMENT;344000;1;83.0;Brussels
APARTMENT;1890000;2;234.0;Brussels
HOUSE;1495000;6;270.0;Brussels
HOUSE;630000;4;158.0;Brussels
APARTMENT;265000;2;88.0;Brussels
APARTMENT;290000;2;90.0;Brussels
APARTMENT;395000;4;118.0;Brussels
HOUSE;325000;2;125.0;Brussels
HOUSE;325000;2;125.0;Brussels
APARTMENT;425000;2;110.0;Brussels
HOUSE;850000;7;361.0;Brussels
APARTMENT;365000;1;125.0;Brussels
APARTMENT;199000;2;70.0;Brussels
APARTMENT;395000;2;107.0;Brussels
HOUSE;745000;6;280.0;Brussels
HOUSE;415000;3;120.0;Brussels
HOUSE;1595000;4;495.0;Brussels
HOUSE;460000;3;185.0;Brussels
APARTMENT;495000;3;140.0;Brussels
APARTMENT;205000;0;51.0;Brussels
APARTMENT;335000;2;110.0;Brussels
APARTMENT;410000;3;118.0;Brussels
APARTMENT;180000;1;62.0;Brussels
APARTMENT;185000;3;92.0;Brussels
APARTMENT;295000;3;101.0;Brussels
APARTMENT;475000;2;167.0;Brussels
HOUSE;920000;3;250.0;Brussels
APARTMENT;325000;2;92.0;Brussels
APARTMENT;364000;2;92.0;Brussels
APARTMENT;407000;2;104.0;Brussels
APARTMENT;407000;2;107.0;Brussels
APARTMENT;265000;1;60.0;Brussels
APARTMENT;265000;1;60.0;Brussels
APARTMENT;385000;1;92.0;Brussels
APARTMENT;945000;3;250.0;Brussels
APARTMENT;495000;3;163.0;Brussels
APARTMENT;170000;1;60.0;Brussels
APARTMENT;275000;1;83.0;Brussels
APARTMENT;299000;3;120.0;Brussels
APARTMENT;425000;3;115.0;Brussels
APARTMENT;629000;4;183.0;Brussels
HOUSE;599000;3;159.0;Brussels
HOUSE;865000;6;495.0;Brussels
APARTMENT;229000;2;98.0;Brussels
APARTMENT;149500;1;51.0;Brussels
APARTMENT;749000;4;175.0;Brussels
APARTMENT;615000;3;138.0;Brussels
APARTMENT;190000;2;85.0;Brussels
APARTMENT;305000;2;85.0;Brussels
APARTMENT;349000;2;98.0;Brussels
APARTMENT;275000;1;113.0;Brussels
HOUSE;1120000;5;320.0;Brussels
HOUSE;295000;4;110.0;Brussels
APARTMENT;215000;2;81.0;Brussels
APARTMENT;340000;2;88.0;Brussels
APARTMENT;449000;2;117.0;Brussels
HOUSE;575000;3;202.0;Brussels
HOUSE;1150000;7;305.0;Brussels
APARTMENT;320000;1;77.0;Brussels
APARTMENT;444000;2;104.0;Brussels
APARTMENT;379116;2;115.0;Brussels
APARTMENT;525000;3;125.0;Brussels
HOUSE;575000;3;132.0;Brussels
APARTMENT;495000;2;143.0;Brussels
HOUSE;1495000;5;413.0;Brussels
APARTMENT;250000;1;46.0;Brussels
APARTMENT;275000;3;120.0;Brussels
APARTMENT;319000;3;140.0;Brussels
APARTMENT;425000;2;107.0;Brussels
HOUSE;689000;6;220.0;Brussels
APARTMENT;600000;4;199.0;Brussels
APARTMENT;415000;1;90.0;Brussels
HOUSE;395000;5;306.0;Brussels
APARTMENT;285000;3;102.0;Brussels
HOUSE;349000;6;291.0;Brussels
HOUSE;700000;8;330.0;Brussels
APARTMENT;695000;2;150.0;Brussels
APARTMENT;325000;2;80.0;Brussels
APARTMENT;225000;0;50.0;Brussels
APARTMENT;250000;1;70.0;Brussels
HOUSE;690000;6;240.0;Brussels
APARTMENT;335000;2;93.0;Brussels
APARTMENT;575000;2;116.0;Brussels
HOUSE;990000;0;280.0;Brussels
APARTMENT;349000;2;90.0;Brussels
APARTMENT;269000;3;94.0;Brussels
HOUSE;545000;4;140.0;Brussels
HOUSE;575000;7;287.0;Brussels
HOUSE;575000;6;287.0;Brussels
HOUSE;575000;6;300.0;Brussels
APARTMENT;500000;3;120.0;Brussels
APARTMENT;495000;2;134.0;Brussels
HOUSE;365000;4;201.0;Brussels
HOUSE;875000;6;411.0;Brussels
HOUSE;990000;4;470.0;Brussels
APARTMENT;275000;1;53.0;Brussels
APARTMENT;280000;2;120.0;Brussels
APARTMENT;295000;2;80.0;Brussels
APARTMENT;235000;0;31.0;Brussels
APARTMENT;299000;2;71.0;Brussels
APARTMENT;429000;3;104.0;Brussels
APARTMENT;500000;3;142.0;Brussels
HOUSE;720000;4;213.0;Brussels
APARTMENT;278986;1;84.0;Brussels
APARTMENT;278986;1;84.0;Brussels
APARTMENT;307000;1;83.0;Brussels
APARTMENT;324457;2;94.0;Brussels
APARTMENT;354385;3;113.0;Brussels
APARTMENT;366200;2;84.0;Brussels
APARTMENT;259000;2;86.0;Brussels
APARTMENT;265000;2;86.0;Brussels
APARTMENT;265000;2;86.0;Brussels
APARTMENT;299000;3;105.0;Brussels
APARTMENT;299000;3;105.0;Brussels
APARTMENT;325000;3;105.0;Brussels
HOUSE;675000;7;260.0;Brussels
APARTMENT;310000;2;95.0;Brussels
APARTMENT;400000;2;100.0;Brussels
APARTMENT;199000;1;73.0;Brussels
HOUSE;595000;5;250.0;Brussels
APARTMENT;90000;0;42.0;Brussels
APARTMENT;260000;1;40.0;Brussels
APARTMENT;425000;2;83.0;Brussels
HOUSE;740000;4;278.0;Brussels
APARTMENT;335000;2;73.0;Brussels
APARTMENT;329000;1;91.0;Brussels
APARTMENT;199000;2;76.0;Brussels
HOUSE;649000;5;220.0;Brussels
HOUSE;425000;5;190.0;Brussels
APARTMENT;575000;3;178.0;Brussels
HOUSE;595000;4;190.0;Brussels
APARTMENT;225000;2;70.0;Brussels
APARTMENT;500000;2;134.0;Brussels
APARTMENT;535000;2;109.0;Brussels
HOUSE;650000;5;270.0;Brussels
HOUSE;1495000;5;413.0;Brussels
APARTMENT;185000;1;42.0;Brussels
APARTMENT;295000;2;84.0;Brussels
APARTMENT;440000;1;74.0;Brussels
APARTMENT;250000;2;97.0;Brussels
APARTMENT;280000;3;108.0;Brussels
APARTMENT;435000;2;105.0;Brussels
APARTMENT;565000;3;110.0;Brussels
APARTMENT;595000;2;95.0;Brussels
APARTMENT;239000;2;88.0;Brussels
APARTMENT;265000;2;96.0;Brussels
APARTMENT;325000;1;75.0;Brussels
APARTMENT;335000;3;112.0;Brussels
APARTMENT;350000;2;102.0;Brussels
APARTMENT;370000;1;80.0;Brussels
APARTMENT;375000;2;93.0;Brussels
APARTMENT;550000;2;96.0;Brussels
HOUSE;720000;5;250.0;Brussels
HOUSE;449000;3;168.0;Brussels
HOUSE;495000;5;250.0;Brussels
HOUSE;790000;5;250.0;Brussels
APARTMENT;1295000;2;200.0;Brussels
APARTMENT;275000;3;105.0;Brussels
APARTMENT;285000;2;83.0;Brussels
APARTMENT;355000;2;92.0;Brussels
HOUSE;845000;4;196.0;Brussels
APARTMENT;1250000;3;131.0;Brussels
APARTMENT;229000;1;63.0;Brussels
APARTMENT;315000;1;79.0;Brussels
APARTMENT;385000;2;124.0;Brussels
APARTMENT;450000;3;105.0;Brussels
APARTMENT;645000;2;180.0;Brussels
APARTMENT;275000;2;70.0;Brussels
HOUSE;649000;3;201.0;Brussels
HOUSE;695000;5;378.0;Brussels
APARTMENT;399000;2;95.0;Brussels
HOUSE;1700000;7;290.0;Brussels
APARTMENT;340000;1;63.0;Brussels
APARTMENT;625000;3;172.0;Brussels
APARTMENT;109000;1;31.0;Brussels
APARTMENT;365000;3;103.0;Brussels
HOUSE;469000;4;145.0;Brussels
HOUSE;1250000;4;375.0;Brussels
HOUSE;874000;4;235.0;Brussels
APARTMENT;209000;2;76.0;Brussels
HOUSE;320000;3;151.0;Brussels
APARTMENT;350000;2;70.0;Brussels
APARTMENT;180000;2;80.0;Brussels
APARTMENT;195000;3;109.0;Brussels
APARTMENT;212500;2;95.0;Brussels
APARTMENT;239000;2;93.0;Brussels
APARTMENT;249000;2;102.0;Brussels
APARTMENT;265000;2;78.0;Brussels
APARTMENT;270000;1;62.0;Brussels
APARTMENT;275000;3;101.0;Brussels
APARTMENT;310000;4;191.0;Brussels
APARTMENT;330000;2;102.0;Brussels
APARTMENT;380000;3;150.0;Brussels
APARTMENT;385000;3;117.0;Brussels
APARTMENT;390000;2;98.0;Brussels
APARTMENT;475000;2;87.0;Brussels
APARTMENT;475000;2;125.0;Brussels
APARTMENT;499000;3;155.0;Brussels
APARTMENT;525000;2;102.0;Brussels
APARTMENT;575000;4;278.0;Brussels
APARTMENT;575000;4;278.0;Brussels
APARTMENT;595000;2;105.0;Brussels
APARTMENT;650000;4;216.0;Brussels
APARTMENT;670000;3;153.0;Brussels
APARTMENT;685000;3;161.0;Brussels
APARTMENT;750000;3;150.0;Brussels
APARTMENT;1195000;4;215.0;Brussels
APARTMENT;1350000;3;343.0;Brussels
APARTMENT;375000;2;93.0;Brussels
APARTMENT;265000;1;75.0;Brussels
HOUSE;445000;3;188.0;Brussels
APARTMENT;225000;1;78.0;Brussels
APARTMENT;595000;4;215.0;Brussels
APARTMENT;340000;3;100.0;Brussels
HOUSE;479000;4;170.0;Brussels
APARTMENT;485000;3;100.0;Brussels
APARTMENT;498000;2;125.0;Brussels
APARTMENT;345000;2;110.0;Brussels
APARTMENT;480000;2;92.0;Brussels
HOUSE;695000;4;173.0;Brussels
APARTMENT;159000;0;31.0;Brussels
APARTMENT;250000;2;96.0;Brussels
HOUSE;1175000;4;360.0;Brussels
APARTMENT;126000;0;37.0;Brussels
APARTMENT;220000;2;80.0;Brussels
HOUSE;439000;3;150.0;Brussels
APARTMENT;462000;3;110.0;Brussels
APARTMENT;399000;2;79.0;Brussels
APARTMENT;399000;3;131.0;Brussels
APARTMENT;500000;2;137.0;Brussels
APARTMENT;995000;5;400.0;Brussels
APARTMENT;499000;3;135.0;Brussels
HOUSE;450000;2;196.0;Brussels
HOUSE;590000;2;150.0;Brussels
HOUSE;849000;4;324.0;Brussels
HOUSE;1490000;5;540.0;Brussels
HOUSE;995000;8;577.0;Brussels
APARTMENT;225000;1;50.0;Brussels
HOUSE;1150000;5;427.0;Brussels
HOUSE;1150000;5;427.0;Brussels
HOUSE;379000;3;175.0;Brussels
APARTMENT;599000;2;125.0;Brussels
APARTMENT;185000;1;58.0;Brussels
APARTMENT;235000;1;49.0;Brussels
APARTMENT;1380000;4;300.0;Brussels
APARTMENT;245000;1;80.0;Brussels
APARTMENT;222500;1;63.0;Brussels
APARTMENT;275000;1;72.0;Brussels
APARTMENT;325000;2;84.0;Brussels
HOUSE;745000;5;290.0;Brussels
APARTMENT;240000;2;78.0;Brussels
APARTMENT;595000;4;202.0;Brussels
APARTMENT;165000;1;55.0;Brussels
APARTMENT;169000;1;37.0;Brussels
APARTMENT;195000;1;84.0;Brussels
APARTMENT;229000;2;88.0;Brussels
APARTMENT;239000;2;106.0;Brussels
APARTMENT;245000;1;61.0;Brussels
APARTMENT;259000;3;115.0;Brussels
APARTMENT;272500;1;66.0;Brussels
APARTMENT;285000;1;79.0;Brussels
APARTMENT;285000;1;78.0;Brussels
APARTMENT;399000;2;132.0;Brussels
APARTMENT;415000;1;123.0;Brussels
APARTMENT;460000;3;146.0;Brussels
APARTMENT;460000;3;153.0;Brussels
APARTMENT;470000;2;100.0;Brussels
APARTMENT;495000;2;146.0;Brussels
APARTMENT;795000;3;231.0;Brussels
APARTMENT;840000;3;173.0;Brussels
APARTMENT;1100000;3;208.0;Brussels
APARTMENT;195000;2;75.0;Brussels
APARTMENT;320000;0;46.0;Brussels
APARTMENT;379116;2;115.0;Brussels
APARTMENT;260000;1;73.0;Brussels
APARTMENT;625000;3;183.0;Brussels
APARTMENT;680000;4;185.0;Brussels
APARTMENT;199000;0;40.0;Brussels
APARTMENT;400000;2;101.0;Brussels
APARTMENT;400000;2;81.0;Brussels
HOUSE;325000;1;78.0;Brussels
HOUSE;375000;4;157.0;Brussels
HOUSE;449000;5;200.0;Brussels
HOUSE;475000;4;118.0;Brussels
APARTMENT;320000;2;80.0;Brussels
HOUSE;645000;4;190.0;Brussels
HOUSE;645000;4;190.0;Brussels
HOUSE;649000;5;310.0;Brussels
APARTMENT;449000;3;123.0;Brussels
APARTMENT;635000;3;123.0;Brussels
HOUSE;395000;3;96.0;Brussels
HOUSE;589000;5;170.0;Brussels
HOUSE;595000;3;533.0;Brussels
HOUSE;625000;3;176.0;Brussels
HOUSE;760000;3;190.0;Brussels
HOUSE;795000;4;205.0;Brussels
HOUSE;1850000;5;540.0;Brussels
HOUSE;2350000;5;366.0;Brussels
HOUSE;2350000;5;366.0;Brussels
APARTMENT;159000;1;40.0;Brussels
APARTMENT;1295000;3;179.0;Brussels
HOUSE;1880000;6;401.0;Brussels
HOUSE;895000;4;360.0;Brussels
APARTMENT;109000;1;31.0;Brussels
APARTMENT;295000;1;52.0;Brussels
APARTMENT;449000;3;100.0;Brussels
HOUSE;360000;5;155.0;Brussels
APARTMENT;350000;1;73.0;Brussels
APARTMENT;350000;1;73.0;Brussels
APARTMENT;385000;2;85.0;Brussels
HOUSE;520000;5;268.0;Brussels
APARTMENT;405000;2;98.0;Brussels
APARTMENT;460000;2;89.0;Brussels
APARTMENT;495000;3;112.0;Brussels
APARTMENT;149000;0;34.0;Brussels
APARTMENT;355000;2;70.0;Brussels
APARTMENT;149000;1;60.0;Brussels
APARTMENT;225000;1;77.0;Brussels
HOUSE;650000;1;230.0;Brussels
HOUSE;699000;3;213.0;Brussels
APARTMENT;270000;2;102.0;Brussels
APARTMENT;405000;2;92.0;Brussels
APARTMENT;598000;3;145.0;Brussels
APARTMENT;208000;1;61.0;Brussels
APARTMENT;360000;2;121.0;Brussels
APARTMENT;137500;1;28.0;Brussels
APARTMENT;230000;2;98.0;Brussels
APARTMENT;235000;2;80.0;Brussels
APARTMENT;239000;2;105.0;Brussels
APARTMENT;240000;2;80.0;Brussels
APARTMENT;255000;2;75.0;Brussels
APARTMENT;285000;1;79.0;Brussels
APARTMENT;285000;1;79.0;Brussels
APARTMENT;285000;1;79.0;Brussels
APARTMENT;295000;1;86.0;Brussels
APARTMENT;345000;2;70.0;Brussels
APARTMENT;365000;2;90.0;Brussels
APARTMENT;450000;2;165.0;Brussels
APARTMENT;470000;1;75.0;Brussels
HOUSE;490000;4;138.0;Brussels
APARTMENT;505000;3;118.0;Brussels
APARTMENT;600000;4;199.0;Brussels
APARTMENT;795000;3;215.0;Brussels
APARTMENT;245000;3;95.0;Brussels
APARTMENT;540000;3;133.0;Brussels
APARTMENT;354385;3;113.0;Brussels
APARTMENT;354385;3;113.0;Brussels
APARTMENT;350000;2;120.0;Brussels
APARTMENT;425000;1;90.0;Brussels
APARTMENT;250000;2;77.0;Brussels
APARTMENT;345000;3;112.0;Brussels
APARTMENT;455000;2;125.0;Brussels
APARTMENT;210000;2;;Brussels
HOUSE;495000;1;120.0;Brussels
APARTMENT;295000;2;80.0;Brussels
APARTMENT;339000;2;92.0;Brussels
APARTMENT;695000;2;125.0;Brussels
HOUSE;409000;4;180.0;Brussels
APARTMENT;440000;2;95.0;Brussels
HOUSE;475000;3;134.0;Brussels
HOUSE;549000;4;230.0;Brussels
HOUSE;630000;4;210.0;Brussels
APARTMENT;645000;2;180.0;Brussels
HOUSE;645000;4;190.0;Brussels
HOUSE;2100000;4;219.0;Brussels
HOUSE;895000;7;320.0;Brussels
APARTMENT;165000;0;37.0;Brussels
HOUSE;449000;5;230.0;Brussels
APARTMENT;760000;3;155.0;Brussels
HOUSE;1495000;5;413.0;Brussels
APARTMENT;229000;1;72.0;Brussels
APARTMENT;390000;3;150.0;Brussels
APARTMENT;540000;2;159.0;Brussels
APARTMENT;220000;0;45.0;Brussels
APARTMENT;360000;2;90.0;Brussels
APARTMENT;280000;5;193.0;Brussels
APARTMENT;695000;4;168.0;Brussels
HOUSE;1090000;4;266.0;Brussels
APARTMENT;189000;1;80.0;Brussels
APARTMENT;520000;2;145.0;Brussels
APARTMENT;395000;2;150.0;Brussels
HOUSE;845000;4;205.0;Brussels
HOUSE;850000;3;204.0;Brussels
HOUSE;1490000;4;300.0;Brussels
APARTMENT;345000;2;90.0;Brussels
APARTMENT;150000;1;60.0;Brussels
APARTMENT;150000;1;60.0;Brussels
APARTMENT;171717;2;76.0;Brussels
APARTMENT;190000;1;53.0;Brussels
APARTMENT;235000;1;55.0;Brussels
APARTMENT;255000;2;75.0;Brussels
APARTMENT;260000;2;100.0;Brussels
